# time, R, alfa_r, veloc, accel
0.00,6370000.00000000,0.00000000,0.00000000,0.00000000
0.10,6370000.07450001,0.00000000,1.49000022,14.90000223
0.20,6370000.29793489,0.00000000,2.98219302,14.92211802
0.30,6370000.67057507,0.00000000,4.47789394,14.96094572
0.40,6370001.19259786,0.00000001,5.97623851,14.98654503
0.50,6370001.86418177,0.00000001,7.47732426,15.01632405
0.60,6370002.68548099,0.00000002,8.98112873,15.04525579
0.70,6370003.65664917,0.00000003,10.48766403,15.07460982
0.80,6370004.77783397,0.00000005,11.99693597,15.10410276
0.90,6370006.04917879,0.00000006,13.50895007,15.13374982
1.00,6370007.47082292,0.00000008,15.02371084,15.16352513
1.10,6370009.04290175,0.00000010,16.54122202,15.19341212
1.20,6370010.76554707,0.00000013,18.06148661,15.22339599
1.30,6370012.63888720,0.00000016,19.58450698,15.25346393
1.40,6370014.66304719,0.00000019,21.11028493,15.28360465
1.50,6370016.83814890,0.00000022,22.63882170,15.31380809
1.60,6370019.16431121,0.00000027,24.17011808,15.34406521
1.70,6370021.64165005,0.00000031,25.70417437,15.37436785
1.80,6370024.27027851,0.00000036,27.24099049,15.40470855
1.90,6370027.05030699,0.00000041,28.78056596,15.43508047
2.00,6370029.98184318,0.00000047,30.32289993,15.46547731
2.10,6370033.06499223,0.00000054,31.86799122,15.49589325
2.20,6370036.29985673,0.00000060,33.41583833,15.52632286
2.30,6370039.68653683,0.00000068,34.96643948,15.55676109
2.40,6370043.22513029,0.00000076,36.51979256,15.58720320
2.50,6370046.91573248,0.00000084,38.07589524,15.61764475
2.60,6370050.75843650,0.00000093,39.63474491,15.64808156
2.70,6370054.75333317,0.00000103,41.19633871,15.67850969
2.80,6370058.90051111,0.00000113,42.76067356,15.70892540
2.90,6370063.20005673,0.00000124,44.32774617,15.73932516
3.00,6370067.65205433,0.00000135,45.89755301,15.76970561
3.10,6370072.25658609,0.00000147,47.47009037,15.80006358
3.20,6370077.01373211,0.00000160,49.04535433,15.83039603
3.30,6370081.92357046,0.00000173,50.62334079,15.86070005
3.40,6370086.98617717,0.00000188,52.20404548,15.89097290
3.50,6370092.20162630,0.00000202,53.78746393,15.92121194
3.60,6370097.56998996,0.00000218,55.37359154,15.95141464
3.70,6370103.09133830,0.00000234,56.96242353,15.98157859
3.80,6370108.76573957,0.00000251,58.55395496,16.01170147
3.90,6370114.59326013,0.00000269,60.14818075,16.04178108
4.00,6370120.57396449,0.00000287,61.74509567,16.07181528
4.10,6370126.70791528,0.00000306,63.34469437,16.10180203
4.20,6370132.99517332,0.00000326,64.94697134,16.13173936
4.30,6370139.43579764,0.00000347,66.55192096,16.16162541
4.40,6370146.02984547,0.00000368,68.15953748,16.19145835
4.50,6370152.77737226,0.00000391,69.76981502,16.22123645
4.60,6370159.67843171,0.00000414,71.38274761,16.25095803
4.70,6370166.73307582,0.00000438,72.99832914,16.28062149
4.80,6370173.94135481,0.00000463,74.61655340,16.31022527
4.90,6370181.30331726,0.00000489,76.23741408,16.33976788
5.00,6370188.81901002,0.00000515,77.86090477,16.36924790
5.10,6370196.48847828,0.00000543,79.48701896,16.39866394
5.20,6370204.31176558,0.00000571,81.11575003,16.42801469
5.30,6370212.28891381,0.00000601,82.74709131,16.45729885
5.40,6370220.41996323,0.00000631,84.38103599,16.48651522
5.50,6370228.70495247,0.00000662,86.01757722,16.51566261
5.60,6370237.14391859,0.00000694,87.65670805,16.54473989
5.70,6370245.73689703,0.00000727,89.29842145,16.57374598
5.80,6370254.48392167,0.00000761,90.94271031,16.60267982
5.90,6370263.38502481,0.00000796,92.58956747,16.63154042
6.00,6370272.44023721,0.00000832,94.23898568,16.66032682
6.10,6370281.64958808,0.00000869,95.89095763,16.68903810
6.20,6370291.01310512,0.00000907,97.54547595,16.71767337
6.30,6370300.53081448,0.00000947,99.20253320,16.74623180
6.40,6370310.20274084,0.00000987,100.86212189,16.77471258
6.50,6370320.02890736,0.00001028,102.52423448,16.80311494
6.60,6370330.00933573,0.00001070,104.18886336,16.83143815
6.70,6370340.14404617,0.00001113,105.85600088,16.85968151
6.80,6370350.43305742,0.00001157,107.52563934,16.88784435
6.90,6370360.87638680,0.00001203,109.19777100,16.91592605
7.00,6370371.47405016,0.00001249,110.87238808,16.94392601
7.10,6370382.22606194,0.00001297,112.54948275,16.97184366
7.20,6370393.13243517,0.00001346,114.22904714,16.99967847
7.30,6370404.19318145,0.00001395,115.91107335,17.02742994
7.40,6370415.40831100,0.00001446,117.59555346,17.05509760
7.50,6370426.77783264,0.00001498,119.28247951,17.08268101
7.60,6370438.30175383,0.00001552,120.97184349,17.11017976
7.70,6370449.98008067,0.00001606,122.66363740,17.13759346
7.80,6370461.81281787,0.00001662,124.35785321,17.16492177
7.90,6370473.79996882,0.00001718,126.05448284,17.19216437
8.00,6370485.94153559,0.00001776,127.75351822,17.21932094
8.10,6370498.23751890,0.00001835,129.45495127,17.24639124
8.20,6370510.68791817,0.00001896,131.15877386,17.27337502
8.30,6370523.29273151,0.00001957,132.86497789,17.30027207
8.40,6370536.05195573,0.00002020,134.57355522,17.32708219
8.50,6370548.96558638,0.00002084,136.28449772,17.35380524
8.60,6370562.03361772,0.00002150,137.99779724,17.38044109
8.70,6370575.25604276,0.00002216,139.71344565,17.40698961
8.80,6370588.63285323,0.00002284,141.43143480,17.43345074
8.90,6370602.16403966,0.00002353,143.15175655,17.45982441
9.00,6370615.84959131,0.00002423,144.87440276,17.48611061
9.10,6370629.68949625,0.00002495,146.59936530,17.51230931
